id,tname,tauthor,worms_id,rank_name,phylum,class,order,family,genus,species,redlist,gisd,hab,status
670768,Sterna vittata,"Gmelin, 1789",225766,Species,Chordata,Aves,Charadriiformes,Sternidae,Sterna,Sterna vittata,t,,,LC
673622,Thalassarche melanophris,"(Temminck, 1828)",343995,Species,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,Thalassarche melanophris,t,,,NT
673700,Thalassoica antarctica,"(Gmelin, 1789)",212639,Species,Chordata,Aves,Procellariiformes,Procellariidae,Thalassoica,Thalassoica antarctica,t,,,LC
674216,Thymopsis nilenta,"Holthuis, 1974",382877,Species,Arthropoda,Malacostraca,Decapoda,Nephropidae,Thymopsis,Thymopsis nilenta,t,,,LC
698592,Megaptera novaeangliae,"(Borowski, 1781)",137092,Species,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Megaptera,Megaptera novaeangliae,t,,,LC
739485,Balaenoptera acutorostrata,"Lacépède, 1804",137087,Species,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera acutorostrata,t,,,LC
752052,Molpadiodemas crinitus,"O'Loughlin & Ahearn, 2005",389594,Species,Echinodermata,Holothuroidea,Aspidochirotida,Synallactidae,Molpadiodemas,Molpadiodemas crinitus,t,,,DD
752054,Molpadiodemas villosus,"(Théel, 1886)",529559,Species,Echinodermata,Holothuroidea,Aspidochirotida,Synallactidae,Molpadiodemas,Molpadiodemas villosus,t,,,LC
752055,Molpadiodemas violaceus,"(Théel, 1886)",529560,Species,Echinodermata,Holothuroidea,Aspidochirotida,Synallactidae,Molpadiodemas,Molpadiodemas violaceus,t,,,LC
754239,Pachyptila salvini,"(Mathews, 1912)",225961,Species,Chordata,Aves,Procellariiformes,Procellariidae,Pachyptila,Pachyptila salvini,t,,,LC
761166,Thalassarche cauta,"(Gould, 1841)",225902,Species,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,Thalassarche cauta,t,,,NT
849511,Stauroteuthis gilchristi,"(Robson, 1924)",410399,Species,Mollusca,Cephalopoda,Octopoda,Cirroteuthidae,Stauroteuthis,Stauroteuthis gilchristi,t,,,DD
1019772,Aphrodroma brevirostris,"(Lesson, 1831)",344020,Species,Chordata,Aves,Procellariiformes,Procellariidae,Aphrodroma,Aphrodroma brevirostris,t,,,LC
